,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Return (%)
86,86,86,86,86,86,2023-10-25 00:00:00+08:00,80.57200018380713,81.17030557169433,78.77707641227977,79.07623291015625,45615979,0.0,0.0,2.7202225049166584
87,87,87,87,87,87,2023-10-26 00:00:00+08:00,78.97650473567928,80.07340676334415,78.77707215312132,79.52495574951172,23719270,0.0,0.0,0.5674560140785934
88,88,88,88,88,88,2023-10-27 00:00:00+08:00,80.2229785260332,82.56635324734823,80.02354594066684,82.16748046875,42806617,0.0,0.0,3.3228873808641035
89,89,89,89,89,89,2023-10-30 00:00:00+08:00,80.52213931955121,81.7686120644359,80.47227736660948,81.61903381347656,31881265,0.0,0.0,-0.6674741055033628
90,90,90,90,90,90,2023-10-31 00:00:00+08:00,81.07058459455605,81.07058459455605,79.67453369817396,79.82411193847656,27394938,0.0,0.0,-2.199146193156276
91,91,91,91,91,91,2023-11-01 00:00:00+08:00,79.8739705588679,80.47227594426434,78.87679238058523,79.37538146972656,20894177,0.0,0.0,-0.5621490272210705
92,92,92,92,92,92,2023-11-02 00:00:00+08:00,80.97087177640168,81.96805003772617,80.07341742750275,80.2728500366211,17414151,0.0,0.0,1.13066362677805
93,93,93,93,93,93,2023-11-03 00:00:00+08:00,81.66889470682472,82.86550548324253,80.82129477287329,82.6162109375,26892338,0.0,0.0,2.9192446758895985
94,94,94,94,94,94,2023-11-06 00:00:00+08:00,84.0621217633609,84.71028147977472,83.31423814485366,84.61056518554688,30546035,0.0,0.0,2.413998687927754
95,95,95,95,95,95,2023-11-07 00:00:00+08:00,84.16183985053117,84.51085069169659,82.51649433319048,82.91536712646484,24603820,0.0,0.0,-2.00353000286021
96,96,96,96,96,96,2023-11-08 00:00:00+08:00,82.76578572591146,83.912542109952,82.06776407016442,82.26719665527344,22210760,0.0,0.0,-0.7817253829471627
97,97,97,97,97,97,2023-11-09 00:00:00+08:00,82.2672008481026,82.56635734887841,81.17030635836774,81.9181900024414,18303691,0.0,0.0,-0.42423549971500885
98,98,98,98,98,98,2023-11-10 00:00:00+08:00,80.67171614464031,80.77143244089544,79.32552712553188,79.37538146972656,34168743,0.0,0.0,-3.104082905932204
99,99,99,99,99,99,2023-11-13 00:00:00+08:00,79.7742493891518,80.87114379667959,78.87678756195079,80.42241668701172,31021604,0.0,0.0,1.319093146890249
100,100,100,100,100,100,2023-11-14 00:00:00+08:00,80.02354923011508,80.22298182367933,78.87679279745616,78.97650909423828,28959042,0.0,0.0,-1.7978912501481092
101,101,101,101,101,101,2023-11-15 00:00:00+08:00,81.91818511580665,83.01507954010889,81.02072327488104,82.96521759033203,50397502,0.0,0.0,5.050499878811121
102,102,102,102,102,102,2023-11-16 00:00:00+08:00,83.96239371032374,83.96239371032374,80.77142680559449,81.12043762207031,58203453,0.0,0.0,-2.223558283630289
103,103,103,103,103,103,2023-11-17 00:00:00+08:00,74.78835851259198,76.43370392144206,72.69428599581246,73.04329681396484,190538032,0.0,0.0,-9.95697390802529
104,104,104,104,104,104,2023-11-20 00:00:00+08:00,74.58893239669221,75.03765954350702,73.39231399207621,74.23991394042969,109101660,0.0,0.0,1.6382298974162213
105,105,105,105,105,105,2023-11-21 00:00:00+08:00,75.7855453491211,77.28131269153796,75.53625079205162,75.7855453491211,86788578,0.0,0.0,2.081941272092025
106,106,106,106,106,106,2023-11-22 00:00:00+08:00,76.33399167877322,76.98215140062123,75.88525693918731,76.63314056396484,47284218,0.0,0.0,1.1184127671564958
107,107,107,107,107,107,2023-11-23 00:00:00+08:00,76.23426736748407,77.28130747971025,75.78554023816747,77.03201293945312,39544273,0.0,0.0,0.5204959271574605
108,108,108,108,108,108,2023-11-24 00:00:00+08:00,76.88243964648112,77.13173420279777,75.68582881930764,75.98497772216797,29509755,0.0,0.0,-1.3592208970420128
109,109,109,109,109,109,2023-11-27 00:00:00+08:00,75.73568328005577,76.0348397912333,74.48921049659293,75.88526153564453,36613788,0.0,0.0,-0.13123144799495057
110,110,110,110,110,110,2023-11-28 00:00:00+08:00,74.78836510640159,75.23709225389362,73.7911869049829,74.14019775390625,56690172,0.0,0.0,-2.299608311844059
111,111,111,111,111,111,2023-11-29 00:00:00+08:00,73.74132287536675,73.94076307475422,71.69711218473861,72.4948501586914,91555012,0.0,0.0,-2.219238206885088
112,112,112,112,112,112,2023-11-30 00:00:00+08:00,72.29542132505436,72.79401043764095,71.4478213552304,72.54471588134766,85244702,0.0,0.0,0.0687851930821104
113,113,113,113,113,113,2023-12-01 00:00:00+08:00,72.39513091399411,72.84386563843793,71.44781473105502,71.64724731445312,93686293,0.0,0.0,-1.2371246561395433
114,114,114,114,114,114,2023-12-04 00:00:00+08:00,72.14584137454486,72.34528157961304,70.35092517612671,70.6002197265625,78421903,0.0,0.0,-1.461364709931312
