,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Return (%)
113,2023-02-09 00:00:00-05:00,53.38485342842211,53.61492085064288,52.63714070560044,52.76176071166992,770200,0.0,0.0,-0.2175476040040758
114,2023-02-10 00:00:00-05:00,52.70424355958492,52.7617613300136,52.19618271959007,52.34955978393555,934500,0.0,0.0,-0.7812493786682917
115,2023-02-13 00:00:00-05:00,52.65631369387278,53.70119608313483,52.65631369387278,53.538230895996094,1220100,0.0,0.0,2.270642039716475
116,2023-02-14 00:00:00-05:00,53.90250318753294,54.592701807663225,53.50947423035824,53.63409423828125,1506300,0.0,0.0,0.1790558647172702
117,2023-02-15 00:00:00-05:00,53.921676323503725,54.33387787505388,53.44237253396147,53.84498596191406,1599600,0.0,0.0,0.39320459612104397
118,2023-02-16 00:00:00-05:00,53.34651117607609,54.75566177622167,52.8192741025276,54.38180541992188,1383200,0.0,0.0,0.9969720456191045
119,2023-02-17 00:00:00-05:00,53.73953863023128,54.190081675850855,53.30816451693809,53.90250015258789,1375100,0.0,0.0,-0.8813706415830125
120,2023-02-21 00:00:00-05:00,53.22189142293262,53.50947295553627,52.22493869689555,52.64672470092773,1227000,0.0,0.0,-2.329716521692493
121,2023-02-22 00:00:00-05:00,52.59879513410601,52.9918240825085,52.26328395502984,52.62755584716797,1449700,0.0,0.0,-0.03641034436359103
122,2023-02-23 00:00:00-05:00,52.80969114352512,53.80664389331382,52.71383184930599,53.63409423828125,1235800,0.0,0.0,1.912569137803577
123,2023-02-24 00:00:00-05:00,53.183547588065046,53.65326690673828,52.72341639290632,53.65326690673828,922600,0.0,0.0,0.03574716554706203
124,2023-02-27 00:00:00-05:00,53.739537514251445,54.13256644113509,53.38485010802183,53.55739974975586,708100,0.0,0.0,-0.1786790674816907
125,2023-02-28 00:00:00-05:00,53.5478184547942,53.55740292132594,52.65631313864088,52.72341537475586,1184600,0.0,0.0,-1.5571786137802635
126,2023-03-01 00:00:00-05:00,53.12602823596796,53.308166009344994,51.96611398748264,52.55086517333984,1514300,0.0,0.0,-0.32727432430077474
127,2023-03-02 00:00:00-05:00,52.54127943193455,53.45195364953092,52.54127943193455,53.35609436035156,596500,0.0,0.0,1.532285309396264
128,2023-03-03 00:00:00-05:00,53.45195638173235,53.75871416774071,53.04934295844244,53.61492156982422,585000,0.0,0.0,0.4850939945578059
129,2023-03-06 00:00:00-05:00,53.4327893118814,53.89292052174502,53.394444130193314,53.58616638183594,677600,0.0,0.0,-0.05363280808092785
130,2023-03-07 00:00:00-05:00,53.49988888826478,53.49988888826478,52.49334803144506,52.74258804321289,752700,0.0,0.0,-1.574246481101127
131,2023-03-08 00:00:00-05:00,52.80968996483824,53.154789267200925,52.35914324710944,52.62755584716797,645200,0.0,0.0,-0.21810115944760344
132,2023-03-09 00:00:00-05:00,52.5125236743534,52.64672815458583,51.69770866905776,51.87025833129883,967700,0.0,0.0,-1.438975273843912
133,2023-03-10 00:00:00-05:00,51.91818392511891,52.34955804702727,51.3142601544472,51.81273651123047,1318100,0.0,0.0,-0.11089557275956174
134,2023-03-13 00:00:00-04:00,51.51557207933691,53.135617545451815,51.40053653880506,52.915138244628906,2419800,0.0,0.0,2.1276655271035283
135,2023-03-14 00:00:00-04:00,53.27941153797478,54.17091323125813,53.0301715170931,54.01753616333008,2012700,0.0,0.0,2.083331831440627
136,2023-03-15 00:00:00-04:00,52.80010437075649,53.52864448267654,52.48376213141393,53.50947189331055,2389500,0.0,0.0,-0.9405543201439714
137,2023-03-16 00:00:00-04:00,53.44236823922803,54.39139127524734,52.88637413277689,54.238014221191406,1648600,0.0,0.0,1.3615203105227014
138,2023-03-17 00:00:00-04:00,53.95043410069973,53.95043410069973,52.65631531438398,52.8096923828125,2223100,0.0,0.0,-2.6334331352065754
139,2023-03-20 00:00:00-04:00,53.49988651397439,53.998362858590376,53.19313240294878,53.806640625,1050800,0.0,0.0,1.8878130078106015
140,2023-03-21 00:00:00-04:00,53.98877825189748,54.516011686011,53.92167601429018,54.33387756347656,1191900,0.0,0.0,0.979873362009509
141,2023-03-22 00:00:00-04:00,54.43932482490565,55.12951978927877,54.26677516961294,54.2955322265625,1030500,0.0,0.0,-0.07057353281894052
142,2023-03-23 00:00:00-04:00,54.53518224318399,54.73648894850102,53.988776239153445,54.285945892333984,1213400,0.0,0.0,-0.01765584355728489
143,2023-03-24 00:00:00-04:00,54.228430377381,54.61187487117609,53.69160881742741,54.42973709106445,885600,0.0,0.0,0.26487739389426945
144,2023-03-27 00:00:00-04:00,54.583113848256,55.09117834817825,54.583113848256,54.91862869262695,1042300,0.0,0.0,0.8982068032857615
145,2023-03-28 00:00:00-04:00,54.698144873659295,55.072001210887045,54.50642264367657,54.70772933959961,736800,0.0,0.0,-0.3840215206532549
146,2023-03-29 00:00:00-04:00,55.32124188690456,55.54172118878964,55.14869223207316,55.46503448486328,652200,0.0,0.0,1.3842744972336174
147,2023-03-30 00:00:00-04:00,55.81971561841969,56.12646973319712,55.61840891624653,55.82930374145508,972800,0.0,0.0,0.6567547644655392
148,2023-03-31 00:00:00-04:00,56.30860832413435,56.76873950301133,56.08812537267475,56.7399787902832,1155000,0.0,0.0,1.6311775139547624
149,2023-04-03 00:00:00-04:00,56.59619102668319,57.1425970414727,56.44281396387907,57.104251861572266,941200,0.0,0.0,0.6420042429614803
150,2023-04-04 00:00:00-04:00,57.065904621894326,57.286383913167256,56.15523040131408,56.452396392822266,947700,0.0,0.0,-1.141518271406794
151,2023-04-05 00:00:00-04:00,56.63453524582607,56.85501454131689,56.078541117094616,56.19357299804688,932500,0.0,0.0,-0.4584807932233148
152,2023-04-06 00:00:00-04:00,56.34695053156351,56.55784536241215,55.9730941727301,56.30860900878906,729200,0.0,0.0,0.2047138215364619
153,2023-04-10 00:00:00-04:00,55.9347490706736,56.394883912580575,55.76219941915789,56.36612319946289,456300,0.0,0.0,0.10214102547774218
154,2023-04-11 00:00:00-04:00,56.27984800206748,56.96045848033091,56.13605906461895,56.83584213256836,963200,0.0,0.0,0.8333355328399517
155,2023-04-12 00:00:00-04:00,56.66329271703516,57.24804390608976,56.52908824547462,56.93170166015625,724500,0.0,0.0,0.16866034528757456
156,2023-04-13 00:00:00-04:00,57.23845766104894,57.66024733613435,56.88377388074343,57.50687026977539,1004200,0.0,0.0,1.0102782682529066
157,2023-04-14 00:00:00-04:00,57.67941400105472,57.6985865906952,57.25762799935693,57.40142059326172,707700,0.0,0.0,-0.18336883231340195
158,2023-04-17 00:00:00-04:00,57.5164513178215,57.64107131958008,57.29597202658555,57.64107131958008,679100,0.0,0.0,0.41749964346089463
